CA_Standard;Own_names;Note
recType;;
sampType;;
landCtry;;
vslFlgCtry;;
year;Year;
proj;;
trpCode;Trip;
staNum;Station;
quarter;Quarter;
month;;
spp;;
sex;Sex;
catchCat;Catagory;
landCat;Fate;
commCatScl;;
commCat;;
stock;;
area;Subdiv.;
rect;ICES;
subRect;;
lenCls;Lengthclass;
age;Age;
fishId;Fishno;
lenCode;;
ageMeth;;
plusGrp;;
otoWt;;
otoSide;;
indWt;Weight;
matMeth;;
matScale;;
matStage;Maturity;
foCatEu6;;added 20180522
gear;Gear;
mesh;Mesh.size;
ictiophonus;Ichthyophonus..code.;
nematodes;Nematodes..code.;
fat;Fat.content..code.;
ageQuality;Age.quality;
